,Score,Summary,Text
244509,4,Love Happy Tot,I just love the happy tot baby food line. It stores so easily and I know I'm feeding my baby the food that is good for her. So far she really is enjoying the taste.
87295,4,Feelin Hot Hot Hot,"Curry has become one of my favorite foods over the past year.  We've always struggled to make good curry at home as the grocery store curry pastes don't have very much flavor.  I always found myself having to use an entire jar instead of the 1Tbsp that they tell you to use.<br /><br />A friend of ours recommended we try this brand.  It had AWESOME flavor but ended up being a tad too spicy for our taste.  I'm not sure we'll purchase it again.  If we do we now know to not use quite as much.<br /><br />We've really been enjoying the Mae Ploy brand of curry pastes which can be found here on Amazon as well.<br /><br />If you like your green curry at Thai spice levels though, you'll LOVE this!"
377094,5,Wow. Very Maple-y,"Just tried this for the first time, and I'm quite pleased. We're planning to get some to take over when we visit friends in the UK - ""live"" syrup would be too risky to travel with - baggage handlers, airports, customs????<br /><br />I did find out some info by contacting Coombs directly - this is made from Grade A Dark Amber syrup; I would have preferred that they'd made it from the more flavorful Grade B, but ""A Dark"" will do in a pinch, and second, the woman at Coombs said it would re-constitute into syrup pretty well by adding 2/3 c. maple sugar to 1/3 c. water. Haven't tried as yet; suspect that 1/3 c. water may be a bit too much so I'll start with 1/4 when I try it.<br /><br />If reconstituting works out, it'll be great for any type of travel where weight and possibility of spills preclude taking real syrup along."
44261,4,"Good dark, rich coffee for breakfast time","After trying lots of different blends in K-Cups over the past couple of years, I've settled on a mix of Tully's French Roast and Newman's Extra Bold as my go-to choices for morning wake up coffees.  Both have a strong, deep flavor that pairs well with weekend waffles and other ""sweet"" goodies.  It's a shame that the price has gone up so much, but it's not the fault of the coffee.  I'll keep drinking this one -- it's one of my simple pleasures and still much more affordable than picking up a cup at the local espresso stand."
398439,5,Fantastic coffee!,"Exceptional coffee all around - rich, full, with subtle hints of dark chocolate. My coffee-snob neighbor just ordered 4 pounds herself after having just one cup!"
269511,5,Glenny's Brown Rice Marshmallow Treats,"These are a delicious vegan alternative to regular rice krispie treats. These have natural, organic ingredients, and are not made with gelatin/marshmallow. At 100 calories per bar, they make a great calorie controlled snack. The flavor was delicious, very similar to the regular rice krispie bar. The case I got was fresh. The bars were krispy and chewy like they should be. I would recommend these to anyone."
89042,1,disgusted,I have never cared for sweetened cereal as I was not raised on it. When I found Purely O's a few years ago I was happy to have found a cereal that did not contain sugar or corn products which I need to avoid because of a corn allergy.  I had intended to buy another box today. I took the time to read the label to make sure that nothing had changed. I could not believe that the ingredient list now lists CORN!  I am so angry!  Purely O's were my go-to breakfast when I needed a something quick or was in the mood for cereal.  There is nothing that this  company makes that I can now eat.  When will these people learn humans aren't pigs! Everything in a supermarket should not contain corn!  If I had wanted corny oat cereal I would have bought Cheerios.
225284,3,Mediocre Mango,"I've been looking for dried organic mango that is as delicious as that carried by Whole Foods, which only sporadically carries it in their bulk foods area.  This was not the mango I was searching for.  It was toooo dry and didn't exactly taste like mango -- it almost tasted more like dried persimmon.  It wasn't terrible -- that is, my family ate up the two pounds -- but not with the anticipated level of joy."
92943,3,Not impressed,"This meal-in-a-box was alright, but not amazing. You cook some chicken, add the spices, water, and the ""noodles"" (more like rice than noodles, but still good), and let it cook. After about 7 min, you add the dehydrated broccoli (you can't even taste it), cook it for a few more minutes, add the cheese, and serve.<br /><br />Now, I am somewhat of a health nut. For those like me, be aware that the product it contains trans fats. The spices packet has partially hydrogenated oil. That's the main reason I wouldn't buy it again. The other reason I wouldn't make it again is because it just doesn't seem healthy at all. The dehydrated broccoli is so minimal...you're best off adding your own fresh stuff. The cheese sauce is thick and just can't be good for you. If I were to make it again, I'd make this skillet dinner as a side. Instead of adding the chicken into the mix, I'd just serve chicken as the main part of the meal.<br /><br />So overall, the Velveeta skillet meal was ok, but not something I'd make again. If I want a quick dinner, I make Annie's Homegrown Skillet Meals. Annie's products leave out the trans fats and the terribly artificial ingredients. I would rather make my own food in general, but at least eating Annie's doesn't make me feel as unhealthy!"
22875,4,Great seasoning!,This product works well with most kinds of meat.  Gives a little extra zip to the flavor of the meat.
185225,2,Havahart Critter Ridder 3143 Animal Repellent Concentrate 8-Ounces,"Sprayed Animal Repellant with a slightly heavier concentration than instructions indicated. Although noxious to human scent, doesn't seem to work on whatever is attacking my tomatoes."
135070,4,Lipton's Peach Flavored Diet Ice Tea Mix,"Good taste, hard to find in stores/supermakets...Why?<br /> A good way to cut down on  diet carbonated beverages.<br />A little pricey unless you purchase in bulk on Amazon.<br />Why aren't other brands making similar products?"
380262,1,I did not get this item,"I did not receive this item. I don't know what happened, I did not get any explanation from the seller."
140406,5,EXCELLENT PRODUCT,"EXCELLENT PRODUCT, SWEET TASTY AND THE KIDS LOVE THEM....GREAT FOR PARTIES OR ANY HOT SUMMER DAY....ALL OF THE FLAVORS TASTE GREAT..."
